#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
832	2.86121	-0.25136	9.63136
833	2.85406	-0.25885	9.97409
834	2.85655	-0.21833	8.27582
835	2.85662	-0.25409	9.76338
836	2.85748	-0.25586	9.83479
837	2.85429	-0.25816	9.94416
838	2.85895	-0.25642	9.85262
839	2.85763	-0.25236	9.68632
840	2.85857	-0.25330	9.72255
841	2.85715	-0.25188	9.66804
842	2.85715	-0.24913	9.55251
843	2.85964	-0.24979	9.57119
844	2.85514	-0.25718	9.89948
845	2.85609	-0.24898	9.55018
846	2.92496	-0.31328	11.99523
847	2.85520	-0.24993	9.59320
848	2.85851	-0.24957	9.56613
849	2.85621	0.21578	7.02405
850	2.85734	-0.25390	9.75239
851	2.85802	-0.25000	9.58591
852	2.85374	-0.26310	10.15598
853	2.85610	-0.25723	9.89776
854	2.85936	-0.26141	10.06204
855	2.85936	-0.26415	10.17847
856	2.85857	-0.25421	9.76094
857	2.85300	-0.26419	10.20527
858	2.85653	-0.25858	9.95323
859	2.85945	-0.25692	9.87200
860	2.84940	-0.24961	9.60133
861	2.89518	-0.29082	11.16670
862	2.85601	-0.26172	10.08836
863	2.85553	-0.24019	9.18377
864	2.85965	-0.24705	9.45621
865	2.85513	-0.24620	9.43673
866	2.85220	-0.25883	9.98024
867	2.85500	-0.26620	10.28275
868	2.85299	-0.24497	9.39281
869	2.85361	-0.26023	10.03441
870	2.85769	-0.25974	9.99774
871	2.85631	-0.25836	9.94466
872	2.85299	-0.25138	9.66248
873	2.85266	-0.26203	10.11459
874	2.84834	-0.24490	9.40670
875	2.90501	-0.28510	10.88188
876	2.85929	-0.26500	10.21477
877	2.85984	-0.26372	10.15822
878	2.85514	-0.25901	9.97695
879	2.85306	-0.26059	10.05199
880	2.85702	-0.26090	10.04941
881	2.86092	-0.27029	10.43326
882	2.85877	-0.25349	9.72996
883	2.85754	-0.25410	9.76013
884	2.85890	-0.26003	10.00562
885	2.85831	-0.25487	9.78963
886	2.85487	-0.25234	9.69612
887	2.85293	-0.25131	9.65993
888	2.85695	-0.26724	10.31914
889	2.89647	-0.29577	11.37274
890	2.88208	-0.28688	11.05404
891	2.85945	-0.26241	10.10429
892	2.85279	0.22835	7.41109
893	2.85562	-0.25126	9.64761
894	2.85634	-0.26388	10.17873
895	2.85958	-0.26163	10.07046
896	2.85453	-0.25291	9.72143
897	2.85958	-0.27169	10.49862
898	2.85741	-0.25763	9.90948
899	2.85831	-0.25761	9.90553
900	2.85345	-0.24909	9.56443
901	2.85695	-0.26266	10.12457
902	2.85971	-0.25993	9.99801
903	2.85628	-0.26015	10.02082
904	2.92061	-0.30893	11.82879
905	2.85896	-0.26558	10.24061
906	2.86017	-0.25306	9.70673
907	2.86063	-0.12541	4.58501
908	2.85656	-0.25311	9.72216
909	2.85569	-0.23394	8.92305
910	2.85367	-0.25755	9.92053
911	2.85400	-0.23683	9.04898
912	2.85676	-0.26155	10.07822
913	2.85441	-0.25463	9.79423
914	2.85549	-0.25845	9.95175
915	2.85683	-0.25338	9.73253
916	2.85494	-0.24234	9.27585
917	2.91425	-0.31356	12.05657
918	2.86371	-0.25843	9.91959
919	2.85493	-0.25331	9.73670
920	2.85639	-0.25570	9.83181
921	2.85661	-0.24584	9.41655
922	2.85567	-0.26138	10.07515
923	2.85766	-0.25788	9.91923
924	2.85694	-0.26265	10.12409
925	2.85707	-0.26369	10.16800
926	2.85991	-0.25738	9.88963
927	2.85783	-0.24981	9.57851
928	2.85623	-0.26285	10.13540
929	2.86002	-0.26024	10.00996
930	2.85965	-0.25346	9.72517
931	2.86043	-0.26797	10.33651
932	2.92593	-0.33713	13.02263
933	2.85947	-0.25236	9.67980
934	2.85909	-0.26755	10.32384
935	2.85965	-0.25620	9.84088
936	2.85608	0.21591	7.02838
937	2.85728	-0.25659	9.86602
938	2.85875	-0.25347	9.72921
939	2.85782	-0.26811	10.35270
940	2.85527	-0.26190	10.09869
941	2.85896	-0.25734	9.89161
942	2.85606	-0.25445	9.78048
943	2.85766	-0.26062	10.03543
944	2.85795	-0.25176	9.66000
945	2.84673	-0.25335	9.76924
946	2.92580	-0.32967	12.69869
947	2.85500	-0.25613	9.85534
948	2.85490	-0.26243	10.12298
949	2.85642	-0.25573	9.83296
950	2.85326	-0.25164	9.67254
951	2.85695	-0.24710	9.46805
952	2.86078	-0.25551	9.80735
953	2.85715	-0.25188	9.66796
954	2.86004	-0.27032	10.43825
955	2.85877	-0.24892	9.53766
956	2.85514	-0.25261	9.70634
957	2.85783	-0.25530	9.80969
958	2.85721	-0.26109	10.05693
959	2.92187	-0.32026	12.30990
960	2.85704	-0.24993	9.58657
961	2.85614	-0.25361	9.74475
962	2.85503	-0.24426	9.35606
963	2.85582	-0.25512	9.80969
964	2.85500	-0.25705	9.89428
965	2.85735	0.22745	7.37321
966	2.85863	-0.25427	9.76341
967	2.85575	-0.24773	9.49873
968	2.85647	-0.24387	9.33446
969	2.85279	-0.25392	9.77057
970	2.85569	-0.24858	9.53486
971	2.85789	-0.26543	10.23856
972	2.85435	-0.24724	9.48337
973	2.84494	-0.24607	9.46843
974	2.93202	-0.32491	12.46255
975	2.85393	-0.24683	9.46748
976	2.85482	-0.26235	10.11982
977	2.85594	-0.24518	9.39107
978	2.85514	-0.24712	9.47521
979	2.85722	-0.26384	10.17352
980	2.85757	-0.25321	9.72247
981	2.85474	-0.25039	9.61409
982	2.85361	-0.23827	9.11029
983	2.85682	-0.25063	9.61678
984	2.85621	-0.25277	9.70897
985	2.85829	-0.24569	9.40424
986	2.85616	-0.25821	9.93903
987	2.85582	-0.25695	9.88702
988	2.91815	-0.31837	12.24597
989	2.86167	-0.24999	9.57183
