#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
697	2.58888	0.01456	0.55941
698	2.58697	0.01648	0.63288
699	2.58704	0.00542	0.20900
700	2.58789	0.00549	0.21160
701	2.58810	0.02449	0.93754
702	2.58734	0.00879	0.33841
703	2.66982	-0.06363	2.44164
704	2.68476	-0.09047	3.48709
705	2.58674	0.03043	1.16288
706	2.58895	0.02547	0.97437
707	2.58773	0.00931	0.35839
708	2.58987	0.00716	0.27586
709	2.58919	0.01060	0.40757
710	2.58911	0.01250	0.48049
711	2.58927	0.01784	0.68418
712	2.58959	0.01659	0.63674
713	2.58826	0.01610	0.61814
714	2.59036	0.02406	0.92047
715	2.58904	0.01257	0.48332
716	2.58891	0.01362	0.52338
717	2.58738	0.00417	0.16074
718	2.68531	0.39125	12.71717
719	2.58826	0.01244	0.47828
720	2.58811	0.00252	0.09745
721	2.58951	0.01851	0.70964
722	2.58938	0.01224	0.47033
723	2.58946	0.01581	0.60696
724	2.58830	0.01423	0.54668
725	2.58831	0.01605	0.61628
726	2.58726	0.00704	0.27118
727	2.58993	0.01809	0.69360
728	2.58995	0.00983	0.37810
729	2.58710	0.00902	0.34763
730	2.58978	0.01550	0.59478
731	2.68740	-0.09677	3.73526
732	2.58655	0.01140	0.43895
733	2.58863	0.01848	0.70867
734	2.58817	0.01527	0.58651
735	2.58848	0.02686	1.02720
736	2.58963	0.01382	0.53076
737	2.58910	0.01801	0.69078
738	2.58882	0.01188	0.45670
739	2.58798	0.01271	0.48890
740	2.58757	0.02411	0.92326
741	2.58873	0.01929	0.73949
742	2.58825	-0.00036	0.01407
743	2.58717	0.00896	0.34494
744	2.59032	0.01496	0.57407
745	2.76529	-0.16917	6.51619
746	2.58842	0.00953	0.36695
747	2.59043	0.48431	15.75122
748	2.58925	0.00596	0.22949
749	2.58851	0.00670	0.25805
750	2.58946	0.01764	0.67665
751	2.58788	0.00733	0.28227
752	2.58839	0.02970	1.13426
753	2.58815	0.00980	0.37728
754	2.58899	0.01080	0.41536
755	2.58950	0.00479	0.18477
756	2.58781	0.02479	0.94886
757	2.58756	0.01954	0.74960
758	2.59011	0.00235	0.09079
759	2.64757	-0.04870	1.87387
760	2.70316	-0.09697	3.72063
761	2.59021	0.00683	0.26311
762	2.58907	0.00614	0.23657
763	2.58821	0.00700	0.26972
764	2.58912	0.03079	1.17535
765	2.58628	0.01350	0.51923
766	2.58780	0.01564	0.60087
767	2.58737	0.00875	0.33709
768	2.58710	0.00444	0.17147
769	2.58768	0.01942	0.74508
770	2.59009	0.01610	0.61792
771	2.58562	0.02606	0.99767
772	2.64121	-0.04051	1.55780
773	2.71307	-0.11146	4.28417
774	2.59014	0.01056	0.40605
775	2.58740	0.02336	0.89483
776	2.58738	0.48186	15.69979
777	2.58980	0.02280	0.87260
778	2.58927	0.01326	0.50957
779	2.58759	0.01036	0.39877
780	2.58931	0.01414	0.54302
781	2.58898	0.01812	0.69515
782	2.58749	0.02145	0.82212
783	2.58938	0.01315	0.50539
784	2.58800	0.00629	0.24256
785	2.58748	0.01597	0.61324
786	2.58938	0.00308	0.11898
787	2.76529	-0.15636	5.99318
788	2.58920	0.01790	0.68673
789	2.58961	0.02665	1.01854
790	2.59101	0.00420	0.16184
791	2.59047	0.01846	0.70775
792	2.58863	0.01573	0.60384
793	2.58912	0.01615	0.62005
