#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
252	2.58533	0.01994	0.76540
253	2.64574	0.44455	14.38541
254	2.69667	-0.09506	3.65393
255	2.58505	0.01015	0.39126
256	2.58589	0.02121	0.81365
257	2.58616	0.01454	0.55891
258	2.58379	0.04162	1.58534
259	2.58445	0.02632	1.00797
260	2.58555	0.02521	0.96563
261	2.58556	0.01056	0.40672
262	2.58440	0.01080	0.41628
263	2.58540	0.01713	0.65811
264	2.58431	0.01548	0.59536
265	2.58605	0.02471	0.94654
266	2.58426	0.02101	0.80644
267	2.58588	0.03587	1.36820
268	2.75649	-0.15030	5.76718
269	2.58482	0.00856	0.33015
270	2.58665	0.02137	0.81953
271	2.58558	0.01146	0.44133
272	2.58592	0.02667	1.02095
273	2.58522	0.02738	1.04787
274	2.58363	0.01981	0.76109
275	2.58510	0.02017	0.77437
276	2.58659	0.01869	0.71735
277	2.58695	0.00552	0.21280
278	2.58556	0.00324	0.12530
279	2.58530	0.01723	0.66208
280	2.58486	0.02316	0.88789
281	2.58577	0.01035	0.39881
282	2.66280	0.42932	13.88437
283	2.60212	0.01139	0.43594
284	2.58485	0.01402	0.53951
285	2.58518	0.02101	0.80626
286	2.58522	0.01274	0.49021
287	2.58669	0.03231	1.23365
288	2.58450	0.01712	0.65798
289	2.58635	0.00337	0.13001
290	2.58633	0.00614	0.23671
291	2.58625	0.01994	0.76514
292	2.58653	0.02515	0.96312
293	2.58525	0.01362	0.52389
294	2.58613	0.02372	0.90868
295	2.58569	0.01776	0.68203
296	2.58604	0.00642	0.24762
297	2.68327	-0.08257	3.17486
298	2.58568	0.02692	1.03031
299	2.58603	0.00644	0.24828
300	2.58489	0.01215	0.46770
301	2.58387	0.01226	0.47215
302	2.58475	0.01687	0.64838
303	2.58554	0.02065	0.79230
304	2.58420	0.01833	0.70440
305	2.58623	0.01538	0.59113
306	2.58663	0.01315	0.50591
307	2.58682	0.01021	0.39331
308	2.58582	0.00848	0.32675
309	2.58341	0.02187	0.83933
310	2.58491	0.00115	0.04445
311	2.73794	0.34228	11.11216
312	2.60401	0.00218	0.08363
313	2.58507	0.01929	0.74074
314	2.58648	0.01697	0.65166
315	2.58476	0.02326	0.89175
316	2.58603	0.01650	0.63387
317	2.58703	-0.00372	0.14393
318	2.58337	0.01000	0.38577
319	2.58469	0.01509	0.58051
320	2.58555	0.02613	1.00069
321	2.58444	0.00985	0.37963
322	2.58682	0.00839	0.32324
323	2.58548	0.01338	0.51502
324	2.58597	0.00741	0.28567
325	2.58859	0.01486	0.57066
326	2.75631	-0.16110	6.20773
327	2.58668	0.00852	0.32843
328	2.58580	0.01947	0.74736
329	2.58419	0.00735	0.28375
330	2.58627	0.01809	0.69461
331	2.58563	0.01050	0.40431
332	2.58481	0.01223	0.47085
333	2.58643	0.00786	0.30315
334	2.58572	0.01589	0.61086
335	2.58600	0.01562	0.60032
336	2.58571	0.02506	0.95975
337	2.58598	0.01563	0.60086
338	2.58650	0.02244	0.86006
339	2.58558	0.02244	0.86055
340	2.63197	0.46015	14.88136
341	2.71169	-0.11283	4.34133
342	2.58464	0.01697	0.65245
343	2.58474	0.01962	0.75343
344	2.58619	0.02000	0.76755
345	2.58344	0.02549	0.97720
346	2.58644	0.01243	0.47832
347	2.58628	0.01351	0.51948
348	2.58610	0.01460	0.56142
349	2.58661	0.01500	0.57658
350	2.58571	0.01408	0.54152
351	2.58552	0.03165	1.20948
352	2.58619	0.01085	0.41771
353	2.58703	0.03014	1.15148
354	2.58646	0.02064	0.79171
355	2.71051	-0.11621	4.47954
356	2.63134	-0.03430	1.32078
357	2.58598	0.03302	1.26093
358	2.58584	0.01211	0.46610
359	2.58544	0.01709	0.65671
360	2.58684	0.02027	0.77740
361	2.58473	0.01963	0.75368
362	2.58679	0.02214	0.84873
363	2.58587	0.02032	0.77968
364	2.58590	0.02121	0.81352
365	2.58571	0.01773	0.68114
366	2.58647	0.00599	0.23104
367	2.58445	0.01442	0.55491
368	2.58519	0.01734	0.66609
369	2.58659	0.49546	16.07571
370	2.76176	-0.15465	5.93190
371	2.58194	0.01967	0.75609
372	2.58600	0.00921	0.35472
373	2.58671	0.01490	0.57275
374	2.58664	0.01497	0.57539
