#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
1328	2.85240	-0.25444	9.79398
1329	2.85240	-0.24895	9.56243
1330	2.85240	-0.25536	9.83267
1331	2.85240	-0.25444	9.79398
1332	2.85240	-0.27092	10.49457
1333	2.85240	-0.25719	9.91013
1334	2.85240	-0.25810	9.94890
1335	2.85240	-0.25536	9.83267
1336	2.85240	-0.24346	9.33184
1337	2.85240	-0.23889	9.14043
1338	2.85240	-0.25170	9.67808
1339	2.85240	-0.25261	9.71669
1340	2.85240	-0.25353	9.75532
1341	2.85240	-0.25078	9.63950
1342	2.85240	-0.24163	9.25520
1343	2.85240	-0.26817	10.37719
1344	2.85240	-0.25078	9.63950
1345	2.85240	-0.24163	9.25520
1346	2.85240	-0.23614	9.02590
1347	2.85240	-0.23614	9.02590
1348	2.85240	-0.25170	9.67808
1349	2.85240	-0.24987	9.60095
1350	2.85240	-0.23706	9.06405
1351	2.85240	-0.25627	9.87139
1352	2.85240	-0.25810	9.94890
1353	2.85240	-0.24346	9.33184
1354	2.85240	-0.26085	10.06538
1355	2.85240	-0.24987	9.60095
1356	2.85240	-0.24163	9.25520
1357	2.85240	-0.25261	9.71669
1358	2.85240	-0.25444	9.79398
1359	2.85240	-0.26451	10.22106
1360	2.85240	-0.24163	9.25520
1361	2.85240	-0.26085	10.06538
1362	2.85240	-0.24438	9.37020
1363	2.85240	-0.26634	10.29907
1364	2.85240	-0.25627	9.87139
1365	2.85240	-0.25078	9.63950
1366	2.85240	-0.25353	9.75532
1367	2.85240	-0.25810	9.94890
1368	2.85240	-0.25536	9.83267
1369	2.85240	-0.25078	9.63950
1370	2.85240	-0.22424	8.53238
1371	2.85240	-0.23523	8.98778
1372	2.85240	-0.25353	9.75532
1373	2.85240	-0.24895	9.56243
1374	2.85240	-0.24804	9.52393
1375	2.85240	-0.25536	9.83267
1376	2.85240	-0.25536	9.83267
1377	2.85240	-0.25810	9.94890
1378	2.85240	-0.25170	9.67808
1379	2.85240	-0.25261	9.71669
1380	2.85240	-0.25536	9.83267
1381	2.85240	-0.24163	9.25520
1382	2.85240	-0.25810	9.94890
1383	2.85240	-0.24804	9.52393
1384	2.85240	0.15919	5.28601
1385	2.85240	-0.24255	9.29350
1386	2.85240	-0.25444	9.79398
1387	2.85240	-0.24621	9.44701
1388	2.85240	-0.25353	9.75532
1389	2.85240	-0.25261	9.71669
1390	2.85240	-0.25902	9.98770
1391	2.85240	-0.25444	9.79398
1392	2.85240	-0.25078	9.63950
1393	2.85240	-0.23706	9.06405
1394	2.85240	-0.24712	9.48546
1395	2.85240	-0.25902	9.98770
1396	2.85240	-0.24621	9.44701
1397	2.85240	-0.27000	10.45542
1398	2.85240	-0.25719	9.91013
1399	2.85240	-0.25078	9.63950
1400	2.85240	-0.24438	9.37020
1401	2.85240	-0.24621	9.44701
1402	2.85240	-0.23797	9.10223
1403	2.85240	-0.24346	9.33184
1404	2.85240	-0.25993	10.02652
1405	2.85240	-0.24072	9.21691
1406	2.85240	-0.24621	9.44701
1407	2.85240	-0.26085	10.06538
1408	2.85240	-0.25536	9.83267
1409	2.85240	-0.24804	9.52393
1410	2.85240	-0.25353	9.75532
1411	2.85240	-0.24621	9.44701
1412	2.85240	-0.25078	9.63950
1413	2.85240	-0.24804	9.52393
1414	2.85240	-0.25078	9.63950
1415	2.85240	-0.25810	9.94890
1416	2.85240	-0.23431	8.94968
1417	2.85240	-0.25444	9.79398
1418	2.85240	-0.24987	9.60095
1419	2.85240	-0.24712	9.48546
1420	2.85240	-0.24712	9.48546
1421	2.85240	-0.24072	9.21691
1422	2.85240	-0.25078	9.63950
1423	2.85240	-0.25902	9.98770
1424	2.85240	-0.24804	9.52393
1425	2.85240	-0.25078	9.63950
1426	2.85240	-0.25261	9.71669
1427	2.85240	-0.25719	9.91013
1428	2.85240	-0.25170	9.67808
1429	2.85240	-0.25902	9.98770
1430	2.85240	-0.23614	9.02590
1431	2.85240	-0.24163	9.25520
1432	2.85240	-0.26176	10.10426
1433	2.85240	-0.26268	10.14316
1434	2.85240	-0.24529	9.40859
1435	2.85240	-0.24163	9.25520
1436	2.85240	-0.26085	10.06538
1437	2.85240	-0.24255	9.29350
1438	2.85240	-0.24804	9.52393
1439	2.85240	-0.26268	10.14316
1440	2.85240	-0.24438	9.37020
1441	2.85240	-0.24163	9.25520
1442	2.85240	-0.24804	9.52393
1443	2.85240	-0.24804	9.52393
1444	2.85240	-0.25627	9.87139
1445	2.85240	-0.24712	9.48546
1446	2.85240	-0.25536	9.83267
1447	2.85240	-0.25444	9.79398
1448	2.85240	-0.24529	9.40859
1449	2.85240	-0.25261	9.71669
