#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
70070	2.72236	-0.04753	1.77710
70071	2.72801	-0.05227	1.95356
70072	2.71520	-0.05136	1.92811
70073	2.71991	-0.05515	2.06964
70074	2.72109	-0.04260	1.59048
70075	2.72477	-0.04812	1.79767
70076	2.71683	-0.03011	1.12057
70077	2.71970	-0.03115	1.15855
70078	2.72164	-0.04590	1.71544
70079	2.72279	-0.04888	1.82815
70080	2.71836	-0.01700	0.62923
70081	2.71673	-0.03367	1.25485
70082	2.71871	-0.04938	1.84986
70083	2.71708	-0.03677	1.37184
70084	2.71722	-0.03507	1.30763
70085	2.71675	-0.03827	1.42871
70086	2.71688	-0.03840	1.43356
70087	2.71767	-0.04742	1.77584
70088	2.71789	-0.04307	1.61014
70089	2.71314	-0.03283	1.22476
70090	2.71674	-0.03277	1.22092
70091	2.71957	-0.03559	1.32607
70092	2.71756	-0.03175	1.18230
70093	2.72343	-0.06234	2.34252
70094	2.71790	-0.03942	1.47173
70095	2.71751	-0.03262	1.21480
70096	2.72155	-0.04490	1.67745
70097	2.71885	-0.01383	0.51131
70098	2.71851	-0.04002	1.49417
70099	2.72010	-0.05259	1.97161
70100	2.71441	-0.02861	1.06515
70101	2.71989	-0.03408	1.26906
70102	2.71732	-0.04067	1.51933
70103	2.71848	-0.03451	1.28574
70104	2.71857	-0.04283	1.60076
70105	2.71621	-0.03773	1.40862
70106	2.71704	-0.03032	1.12867
70107	2.71529	-0.02949	1.09792
70108	2.71865	-0.04474	1.67324
70109	2.71838	-0.04905	1.83753
70110	2.71748	-0.03350	1.24832
70111	2.71507	-0.03201	1.19289
70112	2.72052	-0.04569	1.70829
70113	2.72025	-0.03810	1.42058
70114	2.71747	-0.04905	1.83815
70115	2.71680	-0.03465	1.29193
70116	2.71876	-0.03204	1.19258
70117	2.71629	-0.03048	1.13496
70118	2.72036	-0.04004	1.49404
70119	2.72281	-0.05348	2.00346
70120	2.72327	-0.03838	1.42966
70121	2.71525	-0.03951	1.47672
70122	2.72260	-0.04778	1.78627
70123	2.71922	-0.05080	1.90376
70124	2.71881	-0.03300	1.22872
70125	2.71787	-0.03847	1.43571
70126	2.72225	-0.04926	1.84281
70127	2.71689	-0.04389	1.64213
70128	2.72115	-0.03260	1.21261
70129	2.71900	-0.03045	1.13242
70130	2.71883	-0.03303	1.22965
70131	2.71966	-0.03843	1.43335
70132	2.72227	-0.05660	2.12333
70133	2.72135	-0.04287	1.60036
70134	2.71807	-0.03410	1.27038
70135	2.72123	-0.03268	1.21567
70136	2.71993	-0.05243	1.96544
70137	2.71700	-0.03119	1.16143
70138	2.72187	-0.02874	1.06723
70139	2.72173	-0.04782	1.78832
70140	2.71877	-0.03845	1.43459
70141	2.71791	-0.02112	0.78321
70142	2.71869	-0.03929	1.46632
70143	2.71754	-0.02899	1.07815
70144	2.72054	-0.03748	1.39706
70145	2.72239	-0.04940	1.84804
70146	2.71687	-0.01643	0.60830
70147	2.72435	-0.04221	1.57358
70148	2.72092	-0.03512	1.30744
70149	2.71984	-0.03495	1.30181
70150	2.72103	-0.04255	1.58859
70151	2.72101	-0.03612	1.34532
70152	2.71821	-0.03149	1.17208
70153	2.71605	-0.02293	0.85130
70154	2.71690	-0.03384	1.26140
70155	2.71468	-0.03253	1.21294
70156	2.71589	-0.04381	1.63951
70157	2.71349	-0.01945	0.72208
70158	2.72004	-0.04430	1.65571
70159	2.71558	-0.03343	1.24642
70160	2.71853	-0.04919	1.84289
70161	2.72016	-0.03985	1.48666
70162	2.71507	-0.03475	1.29660
70163	2.72084	-0.03229	1.20084
70164	2.72160	-0.05226	1.95793
70165	2.71991	-0.04143	1.54668
70166	2.71800	-0.04410	1.64911
70167	2.71962	-0.03107	1.15579
70168	2.71912	-0.04064	1.51712
70169	2.71794	-0.03854	1.43837
70170	2.71955	-0.04931	1.84650
70171	2.71896	-0.03315	1.23438
70172	2.71892	-0.03129	1.16417
70173	2.72195	-0.04713	1.76184
70174	2.72092	-0.04701	1.75821
70175	2.71626	-0.03320	1.23746
70176	2.72171	-0.03133	1.16436
