#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
364	2.60315	0.00395	0.15161
365	2.60319	0.00026	0.00981
366	2.60305	-0.01058	0.40826
367	2.60340	-0.00454	0.17453
368	2.60328	-0.00075	0.02870
369	2.60303	0.47902	15.54227
370	2.74839	-0.14128	5.41916
371	2.60302	-0.00141	0.05419
372	2.60313	-0.00793	0.30540
373	2.60301	-0.00140	0.05383
374	2.60301	-0.00140	0.05383
375	2.60314	0.00580	0.22218
376	2.60317	-0.00522	0.20099
377	2.60335	0.00467	0.17908
378	2.60304	0.00224	0.08587
379	2.60311	-0.00698	0.26898
380	2.60343	0.00642	0.24609
381	2.60310	-0.00057	0.02200
382	2.60335	0.00742	0.28405
383	2.60309	-0.00971	0.37442
384	2.62976	0.09906	3.63016
385	2.72216	-0.13519	5.22574
386	2.60313	0.00123	0.04706
387	2.60312	0.00490	0.18805
388	2.60308	-0.00146	0.05630
389	2.60306	0.00313	0.12024
390	2.60324	0.00478	0.18313
391	2.60333	0.00195	0.07477
392	2.60324	-0.00529	0.20364
393	2.60305	0.00497	0.19069
394	2.60312	-0.00242	0.09310
395	2.60321	-0.00434	0.16694
396	2.60330	-0.00077	0.02958
397	2.60319	0.00300	0.11514
398	2.60311	-0.00881	0.33972
399	2.73812	-0.13468	5.17301
400	2.61348	-0.01645	0.63323
401	2.60305	-0.00143	0.05507
402	2.60313	-0.00609	0.23453
403	2.60305	0.00131	0.05023
404	2.60367	-0.01029	0.39688
405	2.60323	-0.01168	0.45079
406	2.60312	-0.01157	0.44654
407	2.60344	0.01099	0.42033
408	2.60321	0.00115	0.04424
409	2.60309	0.00768	0.29406
410	2.60342	-0.00089	0.03434
411	2.60306	0.00862	0.32988
412	2.60312	-0.00700	0.26969
413	2.60331	0.46593	15.18076
414	2.74836	-0.15316	5.90153
415	2.60334	0.00011	0.00417
416	2.60308	0.00037	0.01404
417	2.60324	-0.00895	0.34485
418	2.60312	0.00032	0.01228
419	2.60301	-0.00231	0.08869
420	2.60329	0.00015	0.00576
421	2.60310	-0.00881	0.33954
422	2.60319	0.00300	0.11514
423	2.60314	-0.00793	0.30557
424	2.60314	0.00030	0.01157
425	2.60318	0.00301	0.11549
426	2.60351	-0.00281	0.10809
427	2.60319	0.00483	0.18524
428	2.67851	-0.08056	3.10072
429	2.60902	-0.01565	0.60332
430	2.60317	-0.00155	0.05965
431	2.60334	0.00468	0.17943
432	2.60343	0.00185	0.07090
433	2.60322	-0.01991	0.77070
434	2.60314	0.00397	0.15214
435	2.60306	0.00862	0.33005
436	2.60326	-0.00439	0.16888
437	2.60335	-0.00449	0.17259
438	2.60313	-0.00701	0.27004
439	2.60335	-0.00448	0.17241
440	2.60332	-0.01269	0.48982
441	2.60317	-0.00248	0.09521
442	2.60308	-0.00330	0.12674
443	2.68522	-0.08086	3.10467
444	2.60303	-0.01148	0.44300
445	2.60356	0.00079	0.03050
446	2.60323	-0.01260	0.48628
447	2.60316	0.00029	0.01104
448	2.60322	0.00663	0.25400
449	2.60329	-0.00442	0.16994
450	2.60321	-0.00343	0.13186
451	2.60356	-0.01293	0.49903
452	2.60309	-0.00880	0.33919
453	2.60351	-0.01562	0.60351
454	2.60309	-0.00879	0.33901
455	2.60313	-0.01982	0.76714
456	2.60317	0.48071	15.58779
457	2.74856	-0.14145	5.42567
458	2.60310	-0.00240	0.09239
459	2.60345	-0.00367	0.14104
460	2.60318	-0.00340	0.13062
461	2.60306	-0.01242	0.47955
462	2.60338	-0.00085	0.03258
463	2.60308	-0.00604	0.23259
464	2.60323	0.00021	0.00805
465	2.60326	0.00568	0.21761
466	2.60306	-0.00602	0.23188
467	2.60334	-0.00721	0.27781
468	2.60323	0.00479	0.18365
469	2.60329	0.00107	0.04107
470	2.60336	-0.00815	0.31406
471	2.66607	0.12406	4.44631
472	2.68543	-0.09571	3.69576
473	2.60335	0.00741	0.28387
474	2.60312	-0.01248	0.48185
475	2.60297	-0.00959	0.36982
476	2.60332	-0.00994	0.38344
477	2.60316	-0.02260	0.87559
478	2.60341	-0.00820	0.31600
479	2.60323	0.01028	0.39336
480	2.60305	0.00497	0.19051
481	2.60356	-0.00286	0.11003
482	2.60332	-0.00536	0.20646
483	2.60332	-0.00171	0.06565
484	2.62165	-0.03194	1.23321
485	2.73001	-0.12840	4.93524
486	2.60306	-0.00694	0.26739
487	2.60299	-0.00961	0.37053
488	2.60317	0.00393	0.15073
489	2.60313	-0.00335	0.12886
490	2.60292	-0.00039	0.01495
491	2.60329	-0.02272	0.88039
492	2.60331	0.00196	0.07530
493	2.60312	-0.00609	0.23435
494	2.60324	-0.01352	0.52214
495	2.60305	-0.01791	0.69278
496	2.60300	-0.00322	0.12374
497	2.60323	-0.00436	0.16765
498	2.60337	-0.00633	0.24372
499	2.66450	-0.06929	2.66992
500	2.68682	0.38242	12.45977
501	2.60305	0.00314	0.12042
502	2.60323	0.00570	0.21849
503	2.60339	-0.00818	0.31530
504	2.60338	0.00281	0.10792
505	2.60353	0.00724	0.27719
506	2.60319	0.00392	0.15020
507	2.60313	-0.02257	0.87452
508	2.60333	-0.00446	0.17153
509	2.60314	0.00579	0.22201
510	2.60325	-0.00621	0.23912
511	2.60328	0.00108	0.04142
512	2.60317	-0.00338	0.13009
513	2.60306	0.00404	0.15513
514	2.74835	-0.15955	6.16304
515	2.60320	0.00299	0.11479
516	2.60384	0.00967	0.37001
517	2.60330	-0.02091	0.80960
518	2.60319	-0.00432	0.16624
519	2.60319	-0.01256	0.48486
520	2.60333	-0.00355	0.13645
521	2.60347	-0.00643	0.24778
522	2.60348	0.00088	0.03367
523	2.60301	0.00684	0.26209
524	2.60320	0.00574	0.21990
525	2.60330	-0.00809	0.31176
526	2.60317	-0.00339	0.13045
527	2.60312	-0.00608	0.23418
528	2.67298	-0.07960	3.06929
529	2.67855	0.40168	13.04056
530	2.60307	-0.00329	0.12657
531	2.60302	0.01141	0.43630
532	2.60308	0.01226	0.46868
533	2.60334	0.00285	0.10951
534	2.60307	-0.00604	0.23241
535	2.60303	-0.00599	0.23082
536	2.60304	0.00132	0.05058
537	2.60322	-0.00893	0.34414
538	2.60325	-0.01628	0.62935
539	2.60317	0.00210	0.08058
540	2.60329	0.01205	0.46078
541	2.60294	0.00416	0.15970
542	2.60301	0.01599	0.61042
543	2.71406	-0.10329	3.95644
544	2.63770	-0.03517	1.35130
545	2.60325	-0.00255	0.09804
546	2.60300	-0.01053	0.40631
547	2.60331	-0.00810	0.31229
548	2.60311	-0.00241	0.09257
549	2.60316	-0.01253	0.48362
550	2.60329	-0.01997	0.77318
551	2.60294	0.01148	0.43928
552	2.60325	0.01301	0.49718
553	2.60314	0.00305	0.11708
554	2.60332	-0.01635	0.63201
555	2.60325	0.00111	0.04248
556	2.60307	-0.01061	0.40932
