#Sample[#]	Predicted Power[W]	Error[W]	Absolute Percentage Error[%]
277	3.00330	-0.07041	2.40061
278	2.98943	-0.05288	1.80069
279	2.98532	-0.07531	2.58783
280	2.98361	-0.03517	1.19280
281	2.99458	-0.07359	2.51941
282	2.98319	-0.04847	1.65174
283	2.98684	-0.06768	2.31841
284	3.00328	-0.05392	1.82823
285	2.99440	-0.05968	2.03348
286	3.00339	-0.05586	1.89520
287	2.99377	-0.05631	1.91688
288	2.99241	-0.06776	2.31690
289	2.99761	-0.05557	1.88873
290	2.98349	-0.05335	1.82065
291	2.97772	-0.02652	0.89875
292	2.99618	-0.06695	2.28566
293	2.99909	-0.06895	2.35298
294	2.99685	-0.06121	2.08512
295	2.99482	-0.05918	2.01605
296	2.99284	-0.06636	2.26749
297	2.98967	-0.06044	2.06327
298	2.99218	-0.05471	1.86253
299	2.99349	-0.08073	2.77165
300	2.98654	-0.05182	1.76585
301	2.98974	-0.07790	2.67523
302	3.00116	-0.05454	1.85102
303	3.00376	-0.07087	2.41641
304	2.99259	-0.04963	1.68651
305	2.77260	0.15846	5.40630
306	2.78305	0.02081	0.74215
307	2.88354	0.02831	0.97208
308	2.87686	0.08623	2.91006
309	2.86776	0.08892	3.00755
310	2.86458	0.08295	2.81412
311	2.86473	0.09653	3.25982
312	2.86482	0.09552	3.22681
313	2.87488	0.07082	2.40410
314	2.87443	0.07401	2.51022
315	2.88923	0.07020	2.37204
316	2.87444	0.07950	2.69128
317	2.87463	0.06650	2.26100
318	2.87978	0.06866	2.32879
319	2.87184	0.08210	2.77918
320	2.88130	0.07904	2.67001
321	2.88075	0.06678	2.26578
322	2.87814	0.07306	2.47546
323	2.88224	0.07353	2.48767
324	2.87746	0.05909	2.01231
325	2.87998	0.05656	1.92623
326	2.87525	0.07503	2.54302
327	2.87817	0.07485	2.53466
328	2.87953	0.06525	2.21580
329	2.88198	0.07561	2.55655
330	2.88879	0.07338	2.47739
331	2.88678	0.06258	2.12173
332	2.88669	0.05901	2.00322
333	2.87558	0.06829	2.31989
334	2.88599	0.07892	2.66192
335	2.88456	0.05748	1.95364
336	2.88516	0.07244	2.44921
337	2.87688	0.08346	2.81940
338	2.87931	0.07371	2.49613
339	2.87066	0.08694	2.93952
340	2.88073	0.05856	1.99239
341	2.88715	0.06405	2.17015
342	2.88094	0.07665	2.59176
343	2.87967	0.06603	2.24166
344	2.87045	0.07799	2.64527
345	2.86167	0.09593	3.24339
346	2.86950	0.07345	2.49591
347	2.87371	0.06376	2.17044
348	2.86915	0.08661	2.93033
349	2.87231	0.06790	2.30937
350	2.87943	0.07725	2.61281
351	2.86913	0.07566	2.56928
352	2.86745	0.07184	2.44425
353	2.87882	0.07511	2.54280
354	2.87525	0.07320	2.48252
355	2.87215	0.06715	2.28442
356	2.88018	0.07009	2.37586
357	2.87745	0.06459	2.19534
358	2.87743	0.07559	2.55967
359	2.86999	0.08029	2.72138
360	2.87301	0.07818	2.64925
361	2.86669	0.07809	2.65185
362	2.88190	0.06106	2.07470
363	2.88504	0.05242	1.78468
364	2.87325	0.07337	2.48983
365	2.87419	0.07151	2.42777
366	2.87721	0.06849	2.32513
367	2.87163	0.07590	2.57520
368	2.87065	0.08054	2.72916
369	2.88026	0.05629	1.91686
370	2.87668	0.06262	2.13037
371	2.88604	0.05326	1.81197
372	2.88083	0.05846	1.98896
373	2.88028	0.06359	2.16015
374	2.88245	0.06508	2.20788
375	2.89018	0.04728	1.60960
